ID Code,Supplier,Fragrance Name,Base,Signal Word,CLP Data,Contains,Warning,Pictogram
CS1557,Candle Shack,Persian Bazaar,15% Augeo,Warning,"H319, H412, P501","Benzyl salicylate, Coumarin, Geraniol, Hydroxycitronellal, Linalool, Methyl atrarate, alpha-Hexylcinnamaldehyde, alpha-iso-Methylionone",Causes serious eye irritation. Harmful to aquatic life with long lasting effects.,GHS07
CS1558,Candle Shack,Pink Fizz & Pomelo,15% Augeo,Warning,"H317, H319, H411, P302+P352, P333+P313, P501","1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone, Citral, Ethyl methylphenylglycidate, Linalool, Linalyl acetate, Methyl 2-octynoate, beta-Pinene, delta-1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one, dl-Citronellol",May cause an allergic skin reaction. Causes serious eye irritation. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
CS1559,Candle Shack,Pink Grapefruit & Vanilla,15% Augeo,Warning,"H317, H319, H411, P302+P352, P333+P313, P501","Benzyl salicylate, Citral, Coumarin, Geranyl acetate, Hexyl salicylate, Linalool",May cause an allergic skin reaction. Causes serious eye irritation. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
CS1560,Candle Shack,Pink Pepper & Rose,15% Augeo,Warning,"H317, H319, H412, P302+P352, P333+P313, P501","(2E)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one, Eugenol, Geraniol, dl-Citronellol",May cause an allergic skin reaction. Causes serious eye irritation. Harmful to aquatic life with long lasting effects.,GHS07
CS1561,Candle Shack,Pomander,15% Augeo,Warning,H319,"2-Ethoxy-4-(methoxymethyl)phenol, Eucalyptol, Linalool, Methyl cinnamate, Tetrahydrolinalool, alpha-Methylcinnamaldehyde",Causes serious eye irritation.,GHS07
CS1562,Candle Shack,Relaxing,15% Augeo,Warning,"H317, H319, H412, P302+P352, P333+P313, P501","1-Octen-3-yl acetate, Hydrocarbons, terpene processing by-products, betaCaryophyllene, beta-Pinene, d-Limonene",May cause an allergic skin reaction. Causes serious eye irritation. Harmful to aquatic life with long lasting effects.,GHS07
CS1563,Candle Shack,Rhubarb & Blackberry,15% Augeo,Warning,H319,"Ethyl methylphenylglycidate, Linalool, Nerol",Causes serious eye irritation.,GHS07
CS1564,Candle Shack,Rhubarb & Strawberry,15% Augeo,Warning,"H317, H319, H412, P302+P352, P333+P313, P501","(2E)-1-(2,6,6-Trimethyl-1,3-cyclohexadien-1-yl)-2-buten-1-one, Eugenol, alpha-Amylcinnamaldehyde, delta-1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one",May cause an allergic skin reaction. Causes serious eye irritation. Harmful to aquatic life with long lasting effects.,GHS07
CS1565,Candle Shack,Sandalwood & Black Pepper,15% Augeo,Warning,"H319, H412, P501","1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone, 2-Methyl-3-(p-isopropylphenyl)propionaldehyde, 4-tert-Butylcyclohexyl acetate, Acetyl cedrene, Benzyl salicylate, Eugenol, Isoeugenol, Linalool, Linalyl acetate, Methyl atrarate, alpha-isoMethylionone, d-Limonene",Causes serious eye irritation. Harmful to aquatic life with long lasting effects.,GHS07
CS1566,Candle Shack,Snow Queen,15% Augeo,Warning,"H317, H319, P302+P352, P333+P313, P501","(E)-1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one, 1-(2,6,6-Trimethyl2-cyclohexen-1-yl)pent-1-en-3-one, Methyl-beta-ionone",May cause an allergic skin reaction. Causes serious eye irritation.,GHS07
CS1567,Candle Shack,Solaris Blanc,15% Augeo,Warning,"H319, H412, P501","1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone, 2-Methyl-3-(p-isopropylphenyl)propionaldehyde, Coumarin, Linalool",Causes serious eye irritation. Harmful to aquatic life with long lasting effects.,GHS07
CS1568,Candle Shack,Solaris Noir,15% Augeo,Warning,"H319, H412, P501","1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone, 4-tert-Butylcyclohexyl acetate, Acetyl cedrene, Linalool, Tetrahydrolinalool",Causes serious eye irritation. Harmful to aquatic life with long lasting effects.,GHS07
CS1569,Candle Shack,Starburst,15% Augeo,Warning,"H317, H319, H411, P302+P352, P333+P313, P501","Citral, Geraniol, Linalool, Linalyl acetate, beta-Pinene",May cause an allergic skin reaction. Causes serious eye irritation. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
CS1570,Candle Shack,Starry Night,15% Augeo,Warning,"H319, H412, P501","Acetyl cedrene, Coumarin, d-Limonene",Causes serious eye irritation. Harmful to aquatic life with long lasting effects.,GHS07
